position COMBINED_rate(cM/Mb) Genetic_Map(cM)
1523 5.0516991304 0
1543 10.1424864338 0.0001010340
1816 10.2146735225 0.0028699328
2092 10.4585040436 0.0056891827
2183 11.2323344618 0.0066409065
2716 12.3939965713 0.0126277408
2842 12.4042430046 0.0141893844
3034 7.0382078682 0.0165709990
41984 7.0183256232 0.2907091955
47731 6.9858242871 0.3310435129
59805 6.9857900183 0.4153903553
59836 6.9857089704 0.4156069148
63090 6.9998011444 0.4383384118
68172 7.0226286264 0.4739114012
75149 0.2399006810 0.5229082811
77505 0.2401069312 0.5234734871
77588 0.2401384864 0.5234934160
77933 0.2401286035 0.5235762638
81723 0.2393593424 0.5244863512
83276 0.2392812905 0.5248580762
89186 0.2396065560 0.5262722287
89779 0.2400614458 0.5264143154
90779 0.2390729046 0.5266543768
90825 0.2378615538 0.5266653742
90949 0.2379377642 0.5266948690
90977 0.2365437132 0.5267015312
102535 0.2415498773 0.5294355035
105574 0.4038194636 0.5301695736
112474 0.5812489932 0.5329559279
117159 0.7005407880 0.5356790794
117170 0.8125350522 0.5356867853
122301 0.8272988768 0.5398559027
122649 0.8167598159 0.5401438027
122671 0.8139914887 0.5401617714
125649 0.7436790928 0.5425858381
126305 0.6206212632 0.5430736916
126630 0.5428747510 0.5432753935
129767 0.5276644726 0.5449783916
133973 0.5470702093 0.5471977483
140399 1.1305808634 0.5507132215
144192 0.9298019076 0.5550015147
144457 0.7967973425 0.5552479122
149382 0.1404605314 0.5591721391
149885 0.0312803571 0.5592427908
150887 0.0291960409 0.5592741337
151240 0.0221279583 0.5592844399
151922 0.0201817572 0.5592995312
152039 0.0182730717 0.5593018924
154285 0.0182125398 0.5593429338
155098 0.0182227157 0.5593577405
155453 0.0182429848 0.5593642096
155503 0.0182398387 0.5593651218
156277 0.0182533059 0.5593792394
167063 0.0184140007 0.5595761196
167503 0.0185209488 0.5595842217
168007 0.0187401182 0.5595935563
169403 0.0202125593 0.5596197175
170486 0.1275688703 0.5596416077
172139 0.1275688703 0.5598524790
172253 0.2140369019 0.5598670219
172766 0.1836599269 0.5599768228
173621 0.1365639584 0.5601338520
