GENE,CHR,START,STOP,STRAND,SIZE
DDX11L1,1,1732,4275,+,2544
WASH7P,1,4226,19669,-,15444
MIR1302-11,1,19417,20972,+,1556
MIR1302-2,1,20229,20366,+,138
FAM138A,1,24417,25944,-,1528
AL627309.2,1,42912,44799,+,1888
OR4G11P,1,52811,53750,+,940
OR4F5,1,58954,59871,+,918
RP11-34P13.7,1,79158,123429,-,44272
RP11-34P13.8,1,79414,80968,-,1555
RP11-34P13.10,1,120888,124699,+,3812
AL627309.1,1,124764,129242,-,4479
RP11-34P13.15,1,125004,125758,-,755
RP11-34P13.16,1,127545,127828,-,284
RP11-34P13.14,1,129653,130202,-,550
RP11-34P13.13,1,131337,163725,-,32389
U6,1,147647,147750,-,104
RP11-34P13.9,1,150309,151388,+,1080
AP006222.2,1,217478,257116,-,39639
AP006222.1,1,218155,218638,-,484
RP4-669L17.10,1,307583,443811,+,136229
RP4-669L17.8,1,315959,317975,+,2017
CICP7,1,320260,322099,-,1840
RP4-669L17.4,1,323989,324168,+,180
OR4F29,1,357503,358497,+,995
WBP1LP7,1,368968,369330,-,363
AL732372.1,1,440683,440773,-,91
RP4-669L17.2,1,443496,450343,-,6848
RP5-857K21.15,1,449519,451817,+,2299
RP4-669L17.1,1,460834,461218,+,385
RP5-857K21.1,1,511232,513696,-,2465
RP5-857K21.2,1,512872,520011,+,7140
RP5-857K21.3,1,519696,522741,-,3046
RP5-857K21.4,1,526679,731137,-,204459
RP5-857K21.5,1,552620,554253,-,1634
MTND1P23,1,554305,554676,+,372
MTND2P28,1,554883,555926,+,1044
hsa-mir-6723,1,556317,557859,+,1543
RP5-857K21.7,1,558000,558681,+,682
MTATP8P1,1,558778,558984,+,207
MTATP6P1,1,558939,559619,+,681
RP5-857K21.11,1,559619,560165,+,547
WBP1LP6,1,600085,600508,+,424
OR4F16,1,610922,611916,-,995
CICP3,1,647335,649129,+,1795
RP11-206L10.1,1,651474,653390,-,1917
RP11-206L10.3,1,667056,675259,-,8204
U6,1,683476,683579,-,104
RP11-206L10.5,1,684275,690168,-,5894
RP11-206L10.4,1,686154,687232,+,1079
RP11-206L10.2,1,690100,703869,-,13770
RP11-206L10.9,1,704025,735303,+,31279
RP11-206L10.8,1,726122,735404,-,9283
AL669831.1,1,728395,729000,-,606
RP11-206L10.10,1,735352,742955,-,7604
FAM87B,1,742614,745077,+,2464
LINC00115,1,751449,752765,-,1317
RP11-206L10.11,1,752851,784689,+,31839
FAM41C,1,793314,802146,-,8833
TUBB8P11,1,798535,799592,+,1058
AL645608.2,1,807906,809846,+,1941
RP11-54O7.1,1,836678,840191,+,3514
RP11-54O7.2,1,839414,840214,+,801
RP11-54O7.3,1,842113,844935,-,2823
SAMD11,1,850123,869818,+,19696
AL645608.1,1,851127,856308,-,5182
NOC2L,1,869447,884552,-,15106
KLHL17,1,885830,890958,+,5129
PLEKHN1,1,891740,901108,+,9369
C1orf170,1,900442,907360,-,6919
HES4,1,924205,925415,-,1211
RP11-54O7.10,1,933319,933472,-,154
RP11-54O7.11,1,937240,938436,-,1197
ISG15,1,938666,939783,+,1118
AGRN,1,945366,981359,+,35994
RP11-54O7.14,1,980276,981359,+,1084
RP11-465B22.3,1,984977,994598,+,9622
RNF223,1,996989,999550,-,2562
C1orf159,1,1007061,1041604,-,34544
