GENE,CHR,STRAND,START,STOP,SIZE
A1BG,19,-,58858171,58864865,6695
A1BG-AS1,19,+,58863335,58866549,3215
A1CF,10,-,52559168,52645435,86268
A2M,12,-,9220303,9268558,48256
A2M-AS1,12,+,9217772,9220651,2880
A2ML1,12,+,8975149,9029381,54233
A2MP1,12,-,9381128,9386803,5676
A3GALT2,1,-,33772366,33786699,14334
A4GALT,22,-,43088126,43116876,28751
A4GNT,3,-,137842559,137851229,8671
AA06,17,-,31856805,31860779,3975
AAAS,12,-,53701239,53715412,14174
AACS,12,+,125549924,125627871,77948
AACSP1,5,-,178191863,178203277,11415
AADAC,3,+,151531860,151546276,14417
AADACL2,3,+,151451703,151475556,23854
AADACL2-AS1,3,-,151468966,151645963,176998
AADACL3,1,+,12776117,12788726,12610
AADACL4,1,+,12704565,12727097,22533
AADACP1,3,+,151488243,151502682,14440
AADAT,4,-,170981372,171011538,30167
AAED1,9,-,99403532,99417599,14068
AAGAB,15,-,67493012,67547536,54525
AAK1,2,-,69685126,69870977,185852
AAMDC,11,+,77532207,77583398,51192
AAMP,2,-,219128851,219134932,6082
AANAT,17,+,74449432,74466199,16768
AAR2,20,+,34824338,34844863,20526
AARD,8,+,117950463,117956239,5777
AARS,16,-,70286296,70323412,37117
AARS2,6,-,44266462,44281063,14602
AARSD1,17,-,41102542,41116515,13974
AASDH,4,-,57204450,57253674,49225
AASDHPPT,11,+,105948291,105969419,21129
AASS,7,-,121713597,121784344,70748
AATF,17,+,35306174,35414171,107998
AATK,17,-,79091095,79139872,48778
AATK-AS1,17,+,79139306,79156964,17659
ABAT,16,+,8768443,8878432,109990
ABCA1,9,-,107543283,107690527,147245
ABCA10,17,-,67144147,67240956,96810
ABCA11P,4,-,419223,467998,48776
ABCA12,2,-,215796265,216003151,206887
ABCA13,7,+,48211056,48687091,476036
ABCA17P,16,+,2390922,2476700,85779
ABCA2,9,-,139901685,139923374,21690
ABCA3,16,-,2325878,2390747,64870
ABCA4,1,-,94458393,94586705,128313
ABCA5,17,-,67240575,67323323,82749
ABCA6,17,-,67074846,67138015,63170
ABCA7,19,+,1040101,1065570,25470
ABCA8,17,-,66863427,66951533,88107
ABCA9,17,-,66970772,67057136,86365
ABCA9-AS1,17,+,67000854,67014464,13611
ABCB1,7,-,87133178,87342639,209462
ABCB10,1,-,229652328,229694442,42115
ABCB11,2,-,169779448,169887833,108386
ABCB4,7,-,87031360,87105019,73660
ABCB5,7,+,20655244,20796637,141394
ABCB6,2,-,220074487,220083712,9226
ABCB7,X,-,74273006,74376175,103170
ABCB8,7,+,150725508,150744869,19362
ABCB9,12,-,123405497,123451056,45560
ABCC1,16,+,16043433,16236930,193498
ABCC10,6,+,43395291,43418163,22873
ABCC11,16,-,48200821,48269088,68268
ABCC12,16,-,48116883,48180681,63799
ABCC13,21,+,15646119,15673692,27574
ABCC2,10,+,101542354,101611949,69596
ABCC3,17,+,48712217,48769063,56847
ABCC4,13,-,95672082,95953700,281619
ABCC5,3,-,183637723,183735727,98005
ABCC5-AS1,3,+,183724125,183729207,5083
